id,race_id,bet_type,combination,payout
315695,202610010907,単勝,16,16000
315705,202610010908,単勝,16,16000
315715,202610010909,単勝,10,10000
315725,202610010910,単勝,16,16000
315735,202610010911,単勝,13,13000
315745,202610010912,単勝,18,18000
315755,202605010801,単勝,16,16000
315765,202605010802,単勝,13,13000
315775,202605010803,単勝,16,16000
315785,202605010804,単勝,16,16000
315795,202605010805,単勝,12,12000
315805,202605010806,単勝,16,16000
315815,202605010807,単勝,16,16000
315825,202605010808,単勝,16,16000
315835,202605010809,単勝,10,10000
315845,202605010810,単勝,14,14000
315855,202605010811,単勝,16,16000
315865,202605010812,単勝,16,16000
315875,202609010201,単勝,10,10000
315885,202609010202,単勝,16,16000
315895,202609010203,単勝,11,11000
315905,202609010204,単勝,14,14000
315915,202609010205,単勝,13,13000
315925,202609010206,単勝,11,11000
315935,202609010207,単勝,9,9000
315945,202609010208,単勝,15,15000
315955,202609010209,単勝,10,10000
315965,202609010210,単勝,8,8000
315974,202609010211,単勝,12,12000
315984,202609010212,単勝,16,16000
315994,202610011001,単勝,12,11000
316006,202610011002,単勝,18,18000
316016,202610011003,単勝,14,14000
316026,202610011004,単勝,12,12000
316036,202610011005,単勝,13,13000
316046,202610011006,単勝,16,16000
316056,202610011007,単勝,14,14000
316065,202610011008,単勝,14,14000
316075,202610011009,単勝,12,12000
316085,202610011010,単勝,16,16000
316095,202610011011,単勝,16,16000
316105,202610011012,単勝,18,18000
316115,202606020101,単勝,16,15000
316126,202606020102,単勝,15,15000
316136,202606020103,単勝,16,16000
316146,202606020104,単勝,12,12000
316156,202606020105,単勝,18,18000
316166,202606020106,単勝,9,9000
316176,202606020107,単勝,16,16000
316185,202606020108,単勝,13,13000
316195,202606020109,単勝,8,8000
316204,202606020110,単勝,16,16000
316214,202606020111,単勝,16,16000
316224,202606020112,単勝,16,16000
316234,202609010301,単勝,16,16000
316244,202609010302,単勝,14,14000
316254,202609010303,単勝,16,16000
316264,202609010304,単勝,14,14000
316273,202609010305,単勝,14,14000
316283,202609010306,単勝,13,13000
316293,202609010307,単勝,16,16000
316303,202609010308,単勝,15,15000
316313,202609010309,単勝,9,9000
316323,202609010310,単勝,9,9000
316333,202609010311,単勝,16,16000
316343,202609010312,単勝,18,18000
316353,202610011101,単勝,16,16000
316363,202610011102,単勝,18,18000
316373,202610011103,単勝,14,14000
316383,202610011104,単勝,12,12000
316393,202610011105,単勝,12,12000
316403,202610011106,単勝,16,16000
316413,202610011107,単勝,13,13000
316423,202610011108,単勝,13,13000
316433,202610011109,単勝,16,16000
316442,202610011110,単勝,16,16000
316452,202610011111,単勝,15,15000
316462,202610011112,単勝,18,18000
319269,202606020201,単勝,16,16000
319279,202606020202,単勝,16,16000
319289,202606020203,単勝,16,16000
319299,202606020204,単勝,8,8000
319310,202606020205,単勝,16,16000
319320,202606020206,単勝,15,15000
319330,202606020207,単勝,12,12000
319340,202606020208,単勝,16,16000
319350,202606020209,単勝,10,10000
319360,202606020210,単勝,15,15000
319370,202606020211,単勝,14,14000
319380,202606020212,単勝,16,16000
319390,202609010401,単勝,13,13000
319400,202609010402,単勝,16,16000
319410,202609010403,単勝,12,12000
319419,202609010404,単勝,8,8000
319428,202609010405,単勝,13,13000
319438,202609010406,単勝,8,8000
319446,202609010407,単勝,16,15000
