id,race_id,bet_type,combination,payout,popularity
588414,202505020512,単勝,16,16000,
588422,202508020501,単勝,16,16000,
588430,202508020502,単勝,16,16000,
588439,202508020503,単勝,18,18000,
588448,202508020504,単勝,12,12000,
588456,202508020505,単勝,15,15000,
588464,202508020506,単勝,16,16000,
588473,202508020507,単勝,11,11000,
588482,202508020508,単勝,8,8000,
588489,202508020509,単勝,8,8000,
588502,202508020511,単勝,10,10000,
588511,202508020512,単勝,10,10000,
588519,202504010401,単勝,15,15000,
588527,202504010402,単勝,15,15000,
588535,202504010403,単勝,14,14000,
588543,202504010404,単勝,14,14000,
588550,202504010405,単勝,16,16000,
588567,202504010407,単勝,15,15000,
588576,202504010408,単勝,13,13000,
588602,202504010411,単勝,14,14000,
588610,202504010412,単勝,16,16000,
588618,202505020601,単勝,14,14000,
588626,202505020602,単勝,16,16000,
588634,202505020603,単勝,12,12000,
588642,202505020604,単勝,16,16000,
588661,202505020606,単勝,12,12000,
588670,202505020607,単勝,5,5000,
588687,202505020609,単勝,16,16000,
588695,202505020610,単勝,10,10000,
588703,202505020611,単勝,18,18000,
588713,202505020612,単勝,16,16000,
588721,202508020601,単勝,16,16000,
588728,202508020602,単勝,16,16000,
588746,202508020604,単勝,16,16000,
588754,202508020605,単勝,12,12000,
588771,202508020607,単勝,8,8000,
588787,202508020609,単勝,14,14000,
588794,202508020610,単勝,11,11000,
588803,202508020611,単勝,16,16000,
588811,202508020612,単勝,16,16000,
588818,202504010501,単勝,15,15000,
588834,202504010503,単勝,16,16000,
588843,202504010504,単勝,12,12000,
588851,202504010505,単勝,16,16000,
588858,202504010506,単勝,16,16000,
588865,202504010507,単勝,10,10000,
588873,202504010508,単勝,16,16000,
588880,202504010509,単勝,9,9000,
588899,202504010511,単勝,16,16000,
588908,202504010512,単勝,15,15000,
588918,202505020701,単勝,16,16000,
588926,202505020702,単勝,16,16000,
588934,202505020703,単勝,16,16000,
588941,202505020704,単勝,15,15000,
588948,202505020705,単勝,18,18000,
588956,202505020706,単勝,8,8000,
588963,202505020707,単勝,14,14000,
588979,202505020709,単勝,9,9000,
588987,202505020710,単勝,12,12000,
588995,202505020711,単勝,12,12000,
589002,202505020712,単勝,14,14000,
