11:02:26 INFO src.database.init_db: マイグレーション: v_race_mart ビューを再作成しました
11:02:26 INFO src.database.init_db: DB 初期化完了: C:\dev\horse-racing-ai\data\umalogi.db
11:02:26 INFO __main__: 払戻未取得レース: 910 件 (year=2026)
払戻取得:   6%|6         | 58/910 [02:48<42:13,  2.97s/race, empty=0, err=0, saved=58]11:05:17 INFO src.database.init_db: 払戻保存: race_id=202606010311, 12 件
払戻取得:   6%|6         | 59/910 [02:51<42:02,  2.96s/race, empty=0, err=0, saved=59]11:05:21 INFO src.database.init_db: 払戻保存: race_id=202606010312, 12 件
払戻取得:   7%|6         | 60/910 [02:54<42:19,  2.99s/race, empty=0, err=0, saved=60]11:05:23 INFO src.database.init_db: 払戻保存: race_id=202608010301, 12 件
払戻取得:   7%|6         | 61/910 [02:57<41:57,  2.97s/race, empty=0, err=0, saved=61]11:05:26 INFO src.database.init_db: 払戻保存: race_id=202608010302, 12 件
払戻取得:   7%|6         | 62/910 [03:00<41:22,  2.93s/race, empty=0, err=0, saved=62]11:05:29 INFO src.database.init_db: 払戻保存: race_id=202608010303, 12 件
払戻取得:   7%|6         | 63/910 [03:03<41:09,  2.92s/race, empty=0, err=0, saved=63]11:05:32 INFO src.database.init_db: 払戻保存: race_id=202608010304, 12 件
払戻取得:   7%|7         | 64/910 [03:06<40:47,  2.89s/race, empty=0, err=0, saved=64]11:05:35 INFO src.database.init_db: 払戻保存: race_id=202608010305, 12 件
払戻取得:   7%|7         | 65/910 [03:09<40:30,  2.88s/race, empty=0, err=0, saved=65]11:05:38 INFO src.database.init_db: 払戻保存: race_id=202608010306, 12 件
払戻取得:   7%|7         | 66/910 [03:11<40:12,  2.86s/race, empty=0, err=0, saved=66]11:05:41 INFO src.database.init_db: 払戻保存: race_id=202608010307, 12 件
払戻取得:   7%|7         | 67/910 [03:15<41:01,  2.92s/race, empty=0, err=0, saved=67]11:05:44 INFO src.database.init_db: 払戻保存: race_id=202608010308, 12 件
払戻取得:   7%|7         | 68/910 [03:17<40:33,  2.89s/race, empty=0, err=0, saved=68]11:05:46 INFO src.database.init_db: 払戻保存: race_id=202608010309, 11 件
払戻取得:   8%|7         | 69/910 [03:20<40:07,  2.86s/race, empty=0, err=0, saved=69]11:05:49 INFO src.database.init_db: 払戻保存: race_id=202608010310, 12 件
払戻取得:   8%|7         | 70/910 [03:23<39:41,  2.84s/race, empty=0, err=0, saved=70]11:05:52 INFO src.database.init_db: 払戻保存: race_id=202608010311, 12 件
払戻取得:   8%|7         | 71/910 [03:26<39:52,  2.85s/race, empty=0, err=0, saved=71]11:05:55 INFO src.database.init_db: 払戻保存: race_id=202608010312, 12 件
払戻取得:   8%|7         | 72/910 [03:29<39:48,  2.85s/race, empty=0, err=0, saved=72]11:05:58 INFO src.database.init_db: 払戻保存: race_id=202606010401, 12 件
払戻取得:   8%|8         | 73/910 [03:32<40:32,  2.91s/race, empty=0, err=0, saved=73]11:06:01 INFO src.database.init_db: 払戻保存: race_id=202606010402, 12 件
払戻取得:   8%|8         | 74/910 [03:35<40:44,  2.92s/race, empty=0, err=0, saved=74]11:06:04 INFO src.database.init_db: 払戻保存: race_id=202606010403, 12 件
払戻取得:   8%|8         | 75/910 [03:38<40:44,  2.93s/race, empty=0, err=0, saved=75]11:06:07 INFO src.database.init_db: 払戻保存: race_id=202606010404, 12 件
払戻取得:   8%|8         | 76/910 [03:40<40:27,  2.91s/race, empty=0, err=0, saved=76]11:06:09 INFO src.database.init_db: 払戻保存: race_id=202606010405, 12 件
払戻取得:   8%|8         | 77/910 [03:43<39:57,  2.88s/race, empty=0, err=0, saved=77]11:06:12 INFO src.database.init_db: 払戻保存: race_id=202606010406, 12 件
払戻取得:   9%|8         | 78/910 [03:46<40:08,  2.89s/race, empty=0, err=0, saved=78]11:06:15 INFO src.database.init_db: 払戻保存: race_id=202606010407, 12 件
払戻取得:   9%|8         | 79/910 [03:49<39:54,  2.88s/race, empty=0, err=0, saved=79]11:06:18 INFO src.database.init_db: 払戻保存: race_id=202606010408, 12 件
払戻取得:   9%|8         | 80/910 [03:52<39:38,  2.87s/race, empty=0, err=0, saved=80]11:06:21 INFO src.database.init_db: 払戻保存: race_id=202606010409, 12 件
払戻取得:   9%|8         | 81/910 [03:55<39:15,  2.84s/race, empty=0, err=0, saved=81]11:06:24 INFO src.database.init_db: 払戻保存: race_id=202606010410, 12 件
払戻取得:   9%|9         | 82/910 [03:58<39:25,  2.86s/race, empty=0, err=0, saved=82]11:06:27 INFO src.database.init_db: 払戻保存: race_id=202606010411, 12 件
払戻取得:   9%|9         | 83/910 [04:01<39:59,  2.90s/race, empty=0, err=0, saved=83]11:06:30 INFO src.database.init_db: 払戻保存: race_id=202606010412, 12 件
払戻取得:   9%|9         | 84/910 [04:03<39:55,  2.90s/race, empty=0, err=0, saved=84]11:06:32 INFO src.database.init_db: 払戻保存: race_id=202608010401, 12 件
払戻取得:   9%|9         | 85/910 [04:06<39:39,  2.88s/race, empty=0, err=0, saved=85]11:06:35 INFO src.database.init_db: 払戻保存: race_id=202608010402, 12 件
払戻取得:   9%|9         | 86/910 [04:09<39:33,  2.88s/race, empty=0, err=0, saved=86]11:06:38 INFO src.database.init_db: 払戻保存: race_id=202608010403, 12 件
払戻取得:  10%|9         | 87/910 [04:12<39:03,  2.85s/race, empty=0, err=0, saved=87]11:06:41 INFO src.database.init_db: 払戻保存: race_id=202608010404, 12 件
払戻取得:  10%|9         | 88/910 [04:15<38:59,  2.85s/race, empty=0, err=0, saved=88]11:06:44 INFO src.database.init_db: 払戻保存: race_id=202608010405, 12 件
払戻取得:  10%|9         | 89/910 [04:18<39:25,  2.88s/race, empty=0, err=0, saved=89]11:06:47 INFO src.database.init_db: 払戻保存: race_id=202608010406, 12 件
払戻取得:  10%|9         | 90/910 [04:21<39:33,  2.89s/race, empty=0, err=0, saved=90]11:06:50 INFO src.database.init_db: 払戻保存: race_id=202608010407, 12 件
払戻取得:  10%|#         | 91/910 [04:24<39:16,  2.88s/race, empty=0, err=0, saved=91]11:06:53 INFO src.database.init_db: 払戻保存: race_id=202608010408, 12 件
払戻取得:  10%|#         | 92/910 [04:26<39:05,  2.87s/race, empty=0, err=0, saved=92]11:06:55 INFO src.database.init_db: 払戻保存: race_id=202608010409, 12 件
払戻取得:  10%|#         | 93/910 [04:29<38:41,  2.84s/race, empty=0, err=0, saved=93]11:06:58 INFO src.database.init_db: 払戻保存: race_id=202608010410, 12 件
払戻取得:  10%|#         | 94/910 [04:32<39:01,  2.87s/race, empty=0, err=0, saved=94]11:07:01 INFO src.database.init_db: 払戻保存: race_id=202608010411, 12 件
払戻取得:  10%|#         | 95/910 [04:35<39:39,  2.92s/race, empty=0, err=0, saved=95]11:07:04 INFO src.database.init_db: 払戻保存: race_id=202608010412, 12 件
払戻取得:  11%|#         | 96/910 [04:38<40:34,  2.99s/race, empty=0, err=0, saved=96]11:07:07 INFO src.database.init_db: 払戻保存: race_id=202606010501, 12 件
払戻取得:  11%|#         | 97/910 [04:41<40:17,  2.97s/race, empty=0, err=0, saved=97]11:07:10 INFO src.database.init_db: 払戻保存: race_id=202606010502, 12 件
払戻取得:  11%|#         | 98/910 [04:44<39:56,  2.95s/race, empty=0, err=0, saved=98]11:07:13 INFO src.database.init_db: 払戻保存: race_id=202606010503, 12 件
払戻取得:  11%|#         | 99/910 [04:47<40:06,  2.97s/race, empty=0, err=0, saved=99]11:07:16 INFO src.database.init_db: 払戻保存: race_id=202606010504, 12 件
払戻取得:  11%|#         | 100/910 [04:50<39:28,  2.92s/race, empty=0, err=0, saved=100]11:07:19 INFO src.database.init_db: 払戻保存: race_id=202606010505, 12 件
払戻取得:  11%|#1        | 101/910 [04:53<39:31,  2.93s/race, empty=0, err=0, saved=101]11:07:22 INFO src.database.init_db: 払戻保存: race_id=202606010506, 12 件
払戻取得:  11%|#1        | 102/910 [04:56<39:29,  2.93s/race, empty=0, err=0, saved=102]11:07:25 INFO src.database.init_db: 払戻保存: race_id=202606010507, 12 件
払戻取得:  11%|#1        | 103/910 [04:59<39:36,  2.95s/race, empty=0, err=0, saved=103]11:07:28 INFO src.database.init_db: 払戻保存: race_id=202606010508, 12 件
払戻取得:  11%|#1        | 104/910 [05:02<39:07,  2.91s/race, empty=0, err=0, saved=104]11:07:31 INFO src.database.init_db: 払戻保存: race_id=202606010509, 12 件
払戻取得:  12%|#1        | 105/910 [05:05<39:04,  2.91s/race, empty=0, err=0, saved=105]11:07:34 INFO src.database.init_db: 払戻保存: race_id=202606010510, 12 件
払戻取得:  12%|#1        | 106/910 [05:07<38:41,  2.89s/race, empty=0, err=0, saved=106]11:07:36 INFO src.database.init_db: 払戻保存: race_id=202606010511, 12 件
払戻取得:  12%|#1        | 107/910 [05:10<38:32,  2.88s/race, empty=0, err=0, saved=107]11:07:39 INFO src.database.init_db: 払戻保存: race_id=202606010512, 12 件
払戻取得:  12%|#1        | 108/910 [05:13<38:24,  2.87s/race, empty=0, err=0, saved=108]11:07:42 INFO src.database.init_db: 払戻保存: race_id=202608010501, 12 件
払戻取得:  12%|#1        | 109/910 [05:16<37:56,  2.84s/race, empty=0, err=0, saved=109]11:07:45 INFO src.database.init_db: 払戻保存: race_id=202608010502, 12 件
払戻取得:  12%|#2        | 110/910 [05:19<38:03,  2.85s/race, empty=0, err=0, saved=110]11:07:48 INFO src.database.init_db: 払戻保存: race_id=202608010503, 12 件
払戻取得:  12%|#2        | 111/910 [05:22<37:42,  2.83s/race, empty=0, err=0, saved=111]11:07:51 INFO src.database.init_db: 払戻保存: race_id=202608010504, 12 件
払戻取得:  12%|#2        | 112/910 [05:24<37:39,  2.83s/race, empty=0, err=0, saved=112]11:07:53 INFO src.database.init_db: 払戻保存: race_id=202608010505, 12 件
払戻取得:  12%|#2        | 113/910 [05:27<37:29,  2.82s/race, empty=0, err=0, saved=113]11:07:56 INFO src.database.init_db: 払戻保存: race_id=202608010506, 12 件
